x: -94, y: -221
x: -521.6513570676395, y: -171.42525214702232
x: -523.6492911045789, y: -171.3343698933129
x: -525.6472251415182, y: -171.24348763960353
x: -527.6451591784576, y: -171.1526053858941
x: -529.6430932153969, y: -171.06172313218468
x: -531.6368045476041, y: -170.90324561381618
x: -533.6305158798114, y: -170.74476809544768
x: -535.6242272120187, y: -170.58629057707918
x: -537.617938544226, y: -170.42781305871068
x: -539.6116498764333, y: -170.26933554034218
x: -541.6053612086406, y: -170.11085802197374
x: -543.6052474777605, y: -170.08952938897193
x: -545.6051337468804, y: -170.06820075597017
x: -547.6050200160003, y: -170.04687212296835
x: -549.6049062851201, y: -170.0255434899666
x: -551.6049020383432, y: -170.02142195021622
x: -553.6048977915661, y: -170.0173004104658
x: -555.6048935447892, y: -170.01317887071542
x: -557.6048892980122, y: -170.00905733096505
x: -559.6048850512352, y: -170.00493579121462
x: -561.604883790068, y: -170.00268975753414
x: -563.604883415539, y: -170.00146578214782
x: -565.604883229146, y: -170.00060231724183
x: -563.6576414475644, y: -169.54425875799888
x: -561.7103996659827, y: -169.08791519875587
x: -559.7631578844009, y: -168.6315716395129
x: -557.8159161028193, y: -168.17522808026996
x: -555.8686743212377, y: -167.71888452102695
x: -553.9214325396559, y: -167.262540961784
x: -551.9741907580742, y: -166.80619740254104
x: -550.0269489764926, y: -166.34985384329804
x: -548.0797071949108, y: -165.89351028405508
x: -546.1324654133291, y: -165.43716672481207
x: -544.1852236317475, y: -164.98082316556912
x: -542.2379818501657, y: -164.52447960632617
x: -540.2496801695631, y: -164.3084786181048
x: -538.2613784889604, y: -164.0924776298835
x: -536.2730768083577, y: -163.87647664166212
x: -534.2847751277551, y: -163.6604756534408
x: -532.2964734471524, y: -163.44447466521945
x: -530.3081717665498, y: -163.22847367699808
x: -528.3198700859471, y: -163.01247268877677
x: -526.3315684053443, y: -162.7964717005554
x: -524.3432667247417, y: -162.58047071233403
x: -522.354965044139, y: -162.36446972411272
x: -520.3666633635364, y: -162.14846873589136
x: -518.376059170445, y: -161.9548326172378
x: -516.3854549773537, y: -161.76119649858418
x: -514.3948507842624, y: -161.56756037993063
x: -512.404246591171, y: -161.373924261277
x: -510.41364239807973, y: -161.18028814262345
x: -508.4230382049884, y: -160.98665202396984
x: -506.43243401189704, y: -160.79301590531628
x: -504.44182981880573, y: -160.59937978666272
x: -502.4512256257144, y: -160.4057436680091
x: -500.4606214326231, y: -160.21210754935555
x: -498.4700172395318, y: -160.01847143070194
x: -496.4794130464404, y: -159.82483531204838
x: -494.4888088533491, y: -159.63119919339476
x: -492.4982046602578, y: -159.4375630747412
x: -490.50760046716647, y: -159.24392695608765
x: -488.5079206668222, y: -159.20814014154547
x: -486.50824086647793, y: -159.17235332700324
x: -484.50856106613367, y: -159.13656651246106
x: -482.50888126578934, y: -159.10077969791882
x: -480.5092014654451, y: -159.06499288337665
x: -478.5095216651008, y: -159.0292060688344
x: -476.50984186475654, y: -158.99341925429223
x: -474.51016206441227, y: -158.95763243975
x: -472.510482264068, y: -158.92184562520782
x: -470.51080246372373, y: -158.8860588106656
x: -468.5111226633794, y: -158.8502719961234
x: -466.51144286303514, y: -158.81448518158118
x: -464.5117630626909, y: -158.778698367039
x: -462.5120832623466, y: -158.74291155249676
x: -460.51240346200234, y: -158.7071247379546
x: -458.5127236616581, y: -158.67133792341235
x: -456.5130438613138, y: -158.63555110887017
x: -454.51336406096954, y: -158.59976429432794
x: -452.5136842606252, y: -158.56397747978576
x: -450.51400446028094, y: -158.52819066524353
x: -448.5143246599367, y: -158.49240385070135
x: -446.5146448595924, y: -158.45661703615912
x: -444.51496505924814, y: -158.42083022161694
x: -442.5152852589039, y: -158.3850434070747
x: -440.5156054585596, y: -158.34925659253253
x: -438.51592565821534, y: -158.3134697779903
x: -436.516245857871, y: -158.27768296344811
x: -434.51656605752675, y: -158.24189614890588
x: -432.5168862571825, y: -158.2061093343637
x: -430.5172064568382, y: -158.17032251982147
x: -428.51752665649394, y: -158.1345357052793
x: -426.5178468561497, y: -158.09874889073706
x: -424.5181670558054, y: -158.06296207619488
x: -422.5184872554611, y: -158.02717526165264
x: -420.52782983117805, y: -157.8340871492614
x: -418.537172406895, y: -157.64099903687008
x: -416.546514982612, y: -157.44791092447883
x: -414.5558575583289, y: -157.25482281208758
x: -412.5652001340459, y: -157.06173469969633
x: -410.57454270976285, y: -156.86864658730502
x: -408.5838852854798, y: -156.67555847491377
x: -406.5932278611968, y: -156.48247036252252
x: -404.60257043691377, y: -156.28938225013127
x: -402.6119130126307, y: -156.09629413773996
x: -400.62125558834765, y: -155.9032060253487
x: -398.6305981640646, y: -155.71011791295746
x: -396.6399407397816, y: -155.5170298005662
x: -394.64928331549856, y: -155.3239416881749
x: -392.65862589121554, y: -155.13085357578365
x: -390.6679684669325, y: -154.9377654633924
x: -388.6773110426494, y: -154.74467735100114
x: -386.6866536183664, y: -154.55158923860984
x: -384.69599619408336, y: -154.35850112621858
x: -382.70533876980033, y: -154.16541301382733
x: -380.7055472607863, y: -154.13653533256024
x: -378.70575575177224, y: -154.10765765129315
x: -376.7059642427582, y: -154.07877997002606
x: -374.7061727337442, y: -154.04990228875897
x: -372.70638122473014, y: -154.02102460749194
x: -370.7065897157161, y: -153.99214692622485
x: -368.7067982067021, y: -153.96326924495776
x: -366.70700669768803, y: -153.93439156369067
x: -364.707215188674, y: -153.90551388242358
x: -362.70742367966, y: -153.8766362011565
x: -360.7076321706459, y: -153.8477585198894
x: -358.7078406616319, y: -153.8188808386223
x: -356.70804915261783, y: -153.79000315735522
x: -354.7082576436038, y: -153.76112547608813
x: -352.7084661345898, y: -153.7322477948211
x: -350.7086746255758, y: -153.703370113554
x: -348.7088831165617, y: -153.6744924322869
x: -346.7090916075477, y: -153.64561475101982
x: -344.7093000985336, y: -153.61673706975273
x: -342.7095085895196, y: -153.58785938848564
x: -340.7097170805056, y: -153.55898170721855
x: -338.70992557149157, y: -153.53010402595146
x: -336.7101340624775, y: -153.50122634468437
x: -334.7103425534635, y: -153.47234866341734
x: -332.7105510444494, y: -153.44347098215025
x: -330.7107595354354, y: -153.41459330088315
x: -328.71096802642137, y: -153.38571561961606
x: -326.71117651740735, y: -153.35683793834897
x: -324.7113850083933, y: -153.32796025708188
x: -322.71159349937926, y: -153.2990825758148
x: -320.7118019903652, y: -153.2702048945477
x: -318.7120104813512, y: -153.2413272132806
x: -316.71221897233715, y: -153.21244953201352
x: -314.7124274633231, y: -153.1835718507465
x: -312.71263595430906, y: -153.1546941694794
x: -310.712844445295, y: -153.1258164882123
x: -308.713052936281, y: -153.09693880694522
x: -306.71326142726696, y: -153.06806112567813
x: -304.71346991825294, y: -153.03918344441104
x: -302.71347075979384, y: -153.03734873381512
x: -300.7134716013348, y: -153.0355140232192
x: -298.7134724428757, y: -153.0336793126233
x: -296.71347328441664, y: -153.03184460202738
x: -294.71347412595753, y: -153.0300098914314
x: -292.7134749674985, y: -153.0281751808355
x: -290.7134758090394, y: -153.02634047023957
x: -288.7134766505803, y: -153.02450575964366
x: -286.7134774921212, y: -153.02267104904774
x: -284.7134783336621, y: -153.02083633845183
x: -282.7134791752031, y: -153.0190016278559
x: -280.713480016744, y: -153.01716691726
x: -278.7134808582849, y: -153.01533220666403
x: -276.7134816998258, y: -153.0134974960681
x: -274.7134825413667, y: -153.0116627854722
x: -272.71348338290767, y: -153.00982807487628
x: -270.71348422444856, y: -153.00799336428037
x: -268.7134850659895, y: -153.00615865368445
x: -266.7134859075304, y: -153.00432394308854
x: -264.7134867490713, y: -153.00248923249262
x: -262.71348675168247, y: -153.00238703358815
x: -260.7134867542936, y: -153.00228483468368
x: -258.7134867569048, y: -153.0021826357792
x: -256.71348675951594, y: -153.00208043687473
x: -254.7134867621271, y: -153.00197823797026
x: -252.71348676473826, y: -153.0018760390658
x: -250.71348676734942, y: -153.00177384016132
x: -248.71348676996058, y: -153.00167164125685
x: -246.71348677257174, y: -153.00156944235238
x: -244.7134867751829, y: -153.0014672434479
x: -242.71348677779406, y: -153.00136504454343
x: -240.7134867804051, y: -153.00126284563896
x: -238.71348678301626, y: -153.0011606467345
x: -236.71348678562742, y: -153.00105844783002
x: -234.71348678823858, y: -153.00095624892555
x: -232.71348679084974, y: -153.00085405002108
x: -230.7134867934609, y: -153.0007518511166
x: -228.71348679607206, y: -153.00064965221213
x: -226.71348679868322, y: -153.00054745330766
x: -224.71348680129438, y: -153.0004452544032
x: -222.71348680390554, y: -153.00034305549872
x: -220.7134868065167, y: -153.00024085659425
x: -218.71348680912786, y: -153.00013865768977
x: -216.71451091483812, y: -152.93614354812286
x: -214.71553502054837, y: -152.87214843855594
x: -212.71655912625863, y: -152.80815332898902
x: -210.7175832319689, y: -152.7441582194221
x: -208.71860733767915, y: -152.68016310985513
x: -206.7196314433893, y: -152.6161680002882
x: -204.72065554909955, y: -152.5521728907213
x: -202.7216796548098, y: -152.48817778115438
x: -200.72270376052006, y: -152.42418267158746
x: -198.72372786623032, y: -152.36018756202054
x: -196.72475197194058, y: -152.29619245245362
x: -194.72577607765083, y: -152.2321973428867
x: -192.7268001833611, y: -152.16820223331973
x: -190.72782428907135, y: -152.10420712375281
x: -188.7288483947816, y: -152.0402120141859
x: -186.72987250049187, y: -151.97621690461898
x: -184.730896606202, y: -151.91222179505206
x: -182.73192071191227, y: -151.84822668548514
x: -180.73294481762252, y: -151.78423157591823
x: -178.73396892333278, y: -151.7202364663513
x: -176.73499302904304, y: -151.65624135678434
x: -174.7360171347533, y: -151.59224624721742
x: -172.73704124046355, y: -151.5282511376505
x: -170.7380653461738, y: -151.46425602808358
x: -168.73908945188407, y: -151.40026091851666
x: -166.7401135575942, y: -151.33626580894975
x: -164.74113766330447, y: -151.27227069938283
x: -162.74216176901473, y: -151.2082755898159
x: -160.743185874725, y: -151.14428048024894
x: -158.74420998043524, y: -151.08028537068202
x: -156.7452340861455, y: -151.0162902611151
x: -154.74625819185576, y: -150.95229515154819
x: -152.74728229756602, y: -150.88830004198127
x: -150.74830640327627, y: -150.82430493241435
x: -148.74933050898653, y: -150.76030982284743
x: -146.7503546146968, y: -150.69631471328051
x: -144.75137872040705, y: -150.63231960371354
x: -142.7524028261173, y: -150.56832449414662
x: -140.75342693182745, y: -150.5043293845797
x: -138.7544510375377, y: -150.4403342750128
x: -136.75547514324796, y: -150.37633916544587
x: -134.75649924895822, y: -150.31234405587895
x: -132.75752335466848, y: -150.24834894631203
